DDDDuug%000100mmAAAAAAAI11111101	MAS[R][40] [uns(]Smem[)],[uns(]HI(Cmem)[)],ACy::MPY[R][40][uns(]Smem[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%000101mmAAAAAAAI11111101	MAC[R][40] [uns(]Smem[)],[uns(]HI(Cmem)[)],ACy::MAC[R][40][uns(]Smem[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%000110mmAAAAAAAI11111101	MAC[R][40] [uns(]Smem[)],[uns(]HI(Cmem)[)],ACy::MAS[R][40][uns(]Smem[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%000111mmAAAAAAAI11111101	MAS[R][40] [uns(]Smem[)],[uns(]HI(Cmem)[)],ACy::MAC[R][40][uns(]Smem[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%001000mmAAAAAAAI11111101	MAC[R][40] [uns(]Smem[)],[uns(]HI(Cmem)[)],ACy::MAC[R][40][uns(]Smem[)],[uns(]LO(Cmem)[)],ACx>>#16
DDDDuug%001001mmAAAAAAAI11111101	MAC[R][40] [uns(]Smem[)],[uns(]HI(Cmem)[)],ACy>>#16::MAS[R][40][uns(]Smem[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%001010mmAAAAAAAI11111101	MAC[R][40] [uns(]Smem[)],[uns(]HI(Cmem)[)],ACy>>#16::MPY[R][40][uns(]Smem[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%001011mmAAAAAAAI11111101	MAC[R][40] [uns(]Smem[)],[uns(]HI(Cmem)[)],ACy>>#16::MAC[R][40][uns(]Smem[)],[uns(]LO(Cmem)[)],ACx>>#16
DDDDuug%001100mmAAAAAAAI11111101	MAS[R][40] [uns(]Smem[)],[uns(]HI(Cmem)[)],ACy::MAS[R][40][uns(]Smem[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%010000mmAAAAAAAI11111101	MPY[R][40] [uns(]HI(Lmem)[)],[uns(]HI(Cmem)[)],ACy::MPY[R][40][uns(]LO(Lmem)[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%010001mmAAAAAAAI11111101	MPY[R][40] [uns(]HI(Lmem)[)],[uns(]HI(Cmem)[)],ACy::MAC[R][40][uns(]LO(Lmem)[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%010010mmAAAAAAAI11111101	MAC[R][40] [uns(]HI(Lmem)[)],[uns(]HI(Cmem)[)],ACy::MPY[R][40][uns(]LO(Lmem)[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%010011mmAAAAAAAI11111101	MPY[R][40] [uns(]HI(Lmem)[)],[uns(]HI(Cmem)[)],ACy::MAS[R][40][uns(]LO(Lmem)[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%010100mmAAAAAAAI11111101	MAS[R][40] [uns(]HI(Lmem)[)],[uns(]HI(Cmem)[)],ACy::MPY[R][40][uns(]LO(Lmem)[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%010101mmAAAAAAAI11111101	MAC[R][40] [uns(]HI(Lmem)[)],[uns(]HI(Cmem)[)],ACy::MAC[R][40][uns(]LO(Lmem)[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%010110mmAAAAAAAI11111101	MAC[R][40] [uns(]HI(Lmem)[)],[uns(]HI(Cmem)[)],ACy::MAS[R][40][uns(]LO(Lmem)[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%010111mmAAAAAAAI11111101	MAS[R][40] [uns(]HI(Lmem)[)],[uns(]HI(Cmem)[)],ACy::MAC[R][40][uns(]LO(Lmem)[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%011000mmAAAAAAAI11111101	MAC[R][40] [uns(]HI(Lmem)[)],[uns(]HI(Cmem)[)],ACy::MAC[R][40][uns(]LO(Lmem)[)],[uns(]LO(Cmem)[)],ACx>>#16
DDDDuug%011001mmAAAAAAAI11111101	MAC[R][40] [uns(]HI(Lmem)[)],[uns(]HI(Cmem)[)],ACy>>#16::MAS[R][40][uns(]LO(Lmem)[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%011010mmAAAAAAAI11111101	MAC[R][40] [uns(]HI(Lmem)[)],[uns(]HI(Cmem)[)],ACy>>#16::MPY[R][40][uns(]LO(Lmem)[)],[uns(]LO(Cmem)[)],ACx
DDDDuug%011011mmAAAAAAAI11111101	MAC[R][40] [uns(]HI(Lmem)[)],[uns(]HI(Cmem)[)],ACy>>#16::MAC[R][40][uns(]LO(Lmem)[)],[uns(]LO(Cmem)[)],ACx>>#16
DDDDuug%011100mmAAAAAAAI11111101	MAS[R][40] [uns(]HI(Lmem)[)],[uns(]HI(Cmem)[)],ACy::MAS[R][40][uns(]LO(Lmem)[)],[uns(]LO(Cmem)[)],ACx
